Classifier,Featurelist,CV_Score,PublicAMS,PrivateAMS,time_train,time_pred,Settings,None,None,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82009,3.15919446802838,3.17743195174925,1.19606685638427,95.1855061054229,threshold=0.7777,k=205,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82002,3.15610458270044,3.17517458172138,1.20410895347595,91.4113228321075,threshold=0.7777,k=207,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8201,3.16071726349454,3.17577140896360,1.18910980224609,95.74853515625,threshold=0.7777,k=209,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82013,3.16039890009036,3.17291658844517,1.26311802864074,95.9254860877990,threshold=0.7777,k=211,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.8201,3.16987166870054,3.18066553445636,1.24911403656005,95.3114938735961,threshold=0.7777,k=213,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81998,3.16479712711561,3.18049519531072,1.22303104400634,92.2943210601806,threshold=0.7777,k=215,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.82005,3.16190304186025,3.18203236848007,1.21403503417968,96.5665619373321,threshold=0.7777,k=217,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81995,3.16788829014373,3.17844884317816,1.18710589408874,93.4163460731506,threshold=0.7777,k=219,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81986,3.15830484629297,3.17774722997953,1.22211194038391,97.1135568618774,threshold=0.7777,k=221,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81966,3.17455051725805,3.17967561985785,1.24006700515747,101.977880954742,threshold=0.7777,k=223,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81974,3.16094337937522,3.17898629903489,1.28507399559021,98.5267429351806,threshold=0.7777,k=225,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81977,3.16824521851386,3.18201857073332,1.23604416847229,99.3206830024719,threshold=0.7777,k=227,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81986,3.16925794266674,3.17491724763889,1.19011211395263,100.700773000717,threshold=0.7777,k=229,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81992,3.16743060152561,3.17068951723723,1.18710803985595,101.971883058547,threshold=0.7777,k=231,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81973,3.16419285157052,3.17728149320003,1.21902894973754,96.2055461406707,threshold=0.7777,k=233,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81987,3.16243869859020,3.17726267494803,1.24507093429565,102.073884010314,threshold=0.7777,k=235,p=1,None,None,None,None,None,None,None,None,None,None
kNN,header_6,0.81979,3.16810388971593,3.17666725445484,1.22008991241455,98.6667079925537,threshold=0.7777,k=237,p=1,None,None,None,None,None,None,None,None,None,None
